prec1,slice
1,building
1,address
1,address
1,building
1,address
1,building
1,building
1,building
1,building
0,misc
1,address
1,building
1,building
1,building
1,address
1,building
1,address
1,building
1,misc
1,address
1,building
1,building
1,building
1,building
1,building
1,building
1,building
1,building
1,building
1,building
1,address
1,building
1,building
1,building
1,address
1,misc
1,building
1,building
1,building
1,address
1,address
1,address
1,address
1,building
1,building
1,building
1,address
1,building
0,misc
1,address
1,building
1,address
1,building
1,building
1,building
1,building
1,misc
1,address
1,address
1,building
1,building
1,building
1,building
1,building
1,building
1,address
1,building
1,building
1,building
1,building
1,address
1,misc
1,misc
1,building
0,highway
1,building
1,address
1,building
1,building
1,building
1,building
1,building
1,building
1,misc
1,address
1,building
1,address
1,building
1,building
1,address
1,building
1,address
1,misc
1,address
1,building
1,building
1,misc
1,building
1,building
1,address
1,building
1,building
1,building
1,address
1,address
1,building
1,building
0,misc
1,address
1,address
1,address
1,building
1,building
1,building
1,address
1,building
1,building
1,address
1,building
1,building
1,building
0,highway
1,building
1,building
1,address
1,misc
1,building
1,address
1,building
1,building
0,misc
1,building
1,highway
1,address
1,address
1,misc
1,building
1,address
1,building
1,address
1,building
1,building
1,building
1,building
1,address
1,address
1,building
1,address
1,building
1,building
1,building
1,address
1,building
1,address
1,address
1,building
1,building
1,building
1,building
1,building
1,building
1,building
1,address
1,building
1,building
1,building
0,misc
1,building
1,building
1,building
1,address
1,address
1,building
1,building
1,building
1,highway
1,address
1,address
1,misc
1,address
1,misc
1,building
1,building
1,building
1,building
1,address
1,building
1,highway
1,building
1,building
1,address
1,building
1,building
1,address
1,address
1,building
1,building
1,building
1,building
1,building
1,address
1,highway
1,misc
1,address
1,building
1,address
0,misc
1,building
1,building
1,building
1,address
1,building
1,building
1,address
1,address
1,building
1,building
1,building
1,building
1,building
1,building
1,address
1,building
1,building
1,address
1,building
1,building
1,building
1,building
1,building
1,building
1,building
1,building
1,highway
1,misc
1,building
1,address
1,building
1,building
1,building
1,building
1,building
1,building
1,address
1,building
1,address
1,building
1,building
1,misc
1,building
1,address
1,building
1,highway
1,highway
1,building
1,building
1,building
1,address
1,building
