prec1,prec3,slice
0,0,highway
0,0,highway
1,1,highway
1,1,highway
1,1,highway
1,1,highway
1,1,highway
1,1,highway
1,1,highway
1,1,highway
0,0,highway
1,1,highway
1,1,highway
1,1,highway
0,0,highway
1,1,highway
1,1,highway
1,1,highway
1,1,highway
0,0,highway
1,1,highway
1,1,highway
1,1,highway
1,1,highway
0,0,highway
0,1,highway
0,1,highway
1,1,highway
1,1,highway
1,1,highway
1,1,highway
0,0,highway
1,1,highway
1,1,highway
1,1,highway
1,1,highway
0,0,highway
0,1,highway
1,1,highway
