prec1,prec3,slice
0,1,misc
1,1,misc
1,1,misc
0,1,misc
1,1,misc
1,1,misc
1,1,misc
1,1,misc
1,1,misc
1,1,misc
0,1,misc
1,1,misc
0,0,misc
1,1,misc
0,0,misc
1,1,misc
1,1,misc
1,1,misc
0,1,misc
1,1,misc
1,1,misc
1,1,misc
0,0,misc
0,0,misc
1,1,misc
1,1,misc
1,1,misc
0,0,misc
1,1,misc
1,1,misc
1,1,misc
0,0,misc
1,1,misc
1,1,misc
1,1,misc
1,1,misc
1,1,misc
1,1,misc
0,0,misc
1,1,misc
1,1,misc
1,1,misc
0,0,misc
1,1,misc
1,1,misc
0,0,misc
1,1,misc
0,0,misc
1,1,misc
1,1,misc
1,1,misc
0,1,misc
1,1,misc
1,1,misc
0,1,misc
1,1,misc
1,1,misc
0,0,misc
1,1,misc
0,1,misc
0,0,misc
1,1,misc
1,1,misc
0,0,misc
1,1,misc
0,0,misc
0,0,misc
1,1,misc
1,1,misc
0,0,misc
0,0,misc
1,1,misc
1,1,misc
0,0,misc
0,1,misc
1,1,misc
1,1,misc
0,0,misc
1,1,misc
1,1,misc
0,0,misc
1,1,misc
0,0,misc
1,1,misc
0,0,misc
0,0,misc
1,1,misc
0,1,misc
1,1,misc
1,1,misc
0,1,misc
1,1,misc
0,1,misc
1,1,misc
1,1,misc
0,0,misc
1,1,misc
1,1,misc
1,1,misc
1,1,misc
0,1,misc
0,0,misc
1,1,misc
1,1,misc
1,1,misc
1,1,misc
1,1,misc
1,1,misc
0,1,misc
1,1,misc
1,1,misc
1,1,misc
1,1,misc
1,1,misc
0,0,misc
1,1,misc
1,1,misc
0,1,misc
1,1,misc
1,1,misc
1,1,misc
1,1,misc
1,1,misc
0,1,misc
1,1,misc
1,1,misc
1,1,misc
1,1,misc
0,1,misc
1,1,misc
1,1,misc
1,1,misc
0,1,misc
1,1,misc
1,1,misc
1,1,misc
1,1,misc
0,0,misc
1,1,misc
1,1,misc
0,0,misc
0,0,misc
1,1,misc
0,0,misc
1,1,misc
1,1,misc
1,1,misc
0,1,misc
1,1,misc
1,1,misc
1,1,misc
1,1,misc
