prec1,prec3,slice
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
